ID_VIV,ID_HOG,ID_PER,ID_DEL,UPM,VIV_SEL,HOGAR,BPCOD,R_SEL,SEXO,EDAD,AREAM_OCU,BP1_1,BP1_2C,FAC_DEL,FAC_DEL_AM
900367.03,0900367.03.01,0900367.03.01.01,0900367.03.01.01.09.4,900367,3,1,9,1,1,85,1,12,9,1544,1544
900903.01,0900903.01.01,0900903.01.01.01,0900903.01.01.01.05.2,900903,1,1,5,1,1,55,1,2,9,901,901
900367.03,0900367.03.01,0900367.03.01.01,0900367.03.01.01.07.2,900367,3,1,7,1,1,85,1,12,9,1544,1544
900897.04,0900897.04.01,0900897.04.01.01,0900897.04.01.01.02.2,900897,4,1,2,1,2,45,1,12,9,443,443
900367.03,0900367.03.01,0900367.03.01.01,0900367.03.01.01.09.2,900367,3,1,9,1,1,85,1,11,9,1544,1544
900448.01,0900448.01.01,0900448.01.01.01,0900448.01.01.01.09.2,900448,1,1,9,1,2,67,1,7,9,1141,1141
900399.04,0900399.04.01,0900399.04.01.01,0900399.04.01.01.10.1,900399,4,1,10,1,2,62,1,1,9,2775,2775
900367.03,0900367.03.01,0900367.03.01.01,0900367.03.01.01.07.1,900367,3,1,7,1,1,85,1,11,9,1544,1544
900774.03,0900774.03.01,0900774.03.01.02,0900774.03.01.02.09.2,900774,3,1,9,2,1,55,1,9,9,1129,1129
900448.01,0900448.01.01,0900448.01.01.01,0900448.01.01.01.02.1,900448,1,1,2,1,2,67,1,9,9,570,570
900448.03,0900448.03.01,0900448.03.01.02,0900448.03.01.02.09.1,900448,3,1,9,2,2,42,1,8,9,1711,1711
900897.04,0900897.04.01,0900897.04.01.01,0900897.04.01.01.05.2,900897,4,1,5,1,2,45,1,9,9,887,887
900297.02,0900297.02.01,0900297.02.01.01,0900297.02.01.01.09.2,900297,2,1,9,1,1,82,1,8,9,2194,2194
1505640.04,1505640.04.01,1505640.04.01.01,1505640.04.01.01.06.1,1505640,4,1,6,1,2,59,1,11,15,3714,3714
1505417.03,1505417.03.01,1505417.03.01.03,1505417.03.01.03.07.1,1505417,3,1,7,3,2,48,1,3,15,5297,5297
1507452.04,1507452.04.01,1507452.04.01.03,1507452.04.01.03.04.1,1507452,4,1,4,3,2,40,1,5,15,1149,1149
1507334.02,1507334.02.01,1507334.02.01.02,1507334.02.01.02.01.1,1507334,2,1,1,2,1,28,1,2,15,2036,2036
1518911.04,1518911.04.01,1518911.04.01.01,1518911.04.01.01.05.1,1518911,4,1,5,1,1,68,1,9,15,3523,3523
1507334.01,1507334.01.01,1507334.01.01.03,1507334.01.01.03.02.2,1507334,1,1,2,3,1,29,1,4,15,2036,2036
1507348.05,1507348.05.01,1507348.05.01.02,1507348.05.01.02.05.1,1507348,5,1,5,2,1,18,1,7,15,4134,4134
1504727.04,1504727.04.01,1504727.04.01.05,1504727.04.01.05.05.1,1504727,4,1,5,5,2,21,1,8,15,7532,7532
1504119.03,1504119.03.01,1504119.03.01.01,1504119.03.01.01.05.1,1504119,3,1,5,1,2,63,1,2,15,1666,1666
1504068.01,1504068.01.01,1504068.01.01.04,1504068.01.01.04.07.1,1504068,1,1,7,4,2,20,1,10,15,5158,5158
1505052.04,1505052.04.01,1505052.04.01.05,1505052.04.01.05.02.1,1505052,4,1,2,5,2,27,1,3,15,1436,1436
1504727.02,1504727.02.01,1504727.02.01.01,1504727.02.01.01.01.1,1504727,2,1,1,1,1,63,1,5,15,1506,1506
1504876.02,1504876.02.01,1504876.02.01.01,1504876.02.01.01.10.1,1504876,2,1,10,1,1,46,1,6,15,1499,1499
1506104.05,1506104.05.01,1506104.05.01.03,1506104.05.01.03.05.1,1506104,5,1,5,3,1,19,1,2,15,5014,5014
1507313.02,1507313.02.01,1507313.02.01.01,1507313.02.01.01.01.1,1507313,2,1,1,1,1,63,1,2,15,1710,1710
1505640.04,1505640.04.01,1505640.04.01.01,1505640.04.01.01.06.2,1505640,4,1,6,1,2,59,1,7,15,3714,3714
1505640.03,1505640.03.01,1505640.03.01.01,1505640.03.01.01.07.1,1505640,3,1,7,1,2,21,1,12,15,2476,2476
1507313.02,1507313.02.01,1507313.02.01.01,1507313.02.01.01.01.2,1507313,2,1,1,1,1,63,1,3,15,1710,1710
1513779.02,1513779.02.01,1513779.02.01.01,1513779.02.01.01.05.2,1513779,2,1,5,1,2,22,1,6,15,1764,1764
1507334.05,1507334.05.01,1507334.05.01.01,1507334.05.01.01.02.1,1507334,5,1,2,1,1,49,1,8,15,2036,2036
1504126.03,1504126.03.01,1504126.03.01.02,1504126.03.01.02.05.1,1504126,3,1,5,2,2,43,1,1,15,3274,3274
1506135.04,1506135.04.01,1506135.04.01.01,1506135.04.01.01.05.1,1506135,4,1,5,1,1,55,1,6,15,8467,8467
1504931.01,1504931.01.01,1504931.01.01.01,1504931.01.01.01.05.1,1504931,1,1,5,1,1,45,1,6,15,3913,3913
1505417.02,1505417.02.01,1505417.02.01.05,1505417.02.01.05.07.1,1505417,2,1,7,5,1,27,1,5,15,14126,14126
1504876.01,1504876.01.01,1504876.01.01.03,1504876.01.01.03.05.1,1504876,1,1,5,3,1,23,1,2,15,4497,4497
1504472.05,1504472.05.01,1504472.05.01.03,1504472.05.01.03.05.1,1504472,5,1,5,3,2,38,1,11,15,3657,3657
1505135.03,1505135.03.01,1505135.03.01.01,1505135.03.01.01.03.1,1505135,3,1,3,1,1,61,1,6,15,1444,1444
1105708.02,1105708.02.01,1105708.02.01.03,1105708.02.01.03.07.1,1105708,2,1,7,3,1,35,1,7,15,3897,3897
1506382.01,1506382.01.01,1506382.01.01.01,1506382.01.01.01.04.1,1506382,1,1,4,1,1,70,1,4,15,1508,1508
1528381.01,1528381.01.01,1528381.01.01.03,1528381.01.01.03.06.5,1528381,1,1,6,3,1,27,1,1,15,11254,11254
